id,predicted_price
2591820310,409875.5
7974200820,870801.3
7701450110,1296203.4
9522300010,2178258.2
9510861140,728667.94
1761300310,269679.94
7732410120,785164.5
7010701383,621059.7
291310170,410639.94
4232901990,585449.6
6840701125,655633.3
3971700580,462915.78
4202400078,242950.53
6064800090,393676.16
2626119028,196874.3
3303980660,1213526.1
862000020,810979.94
2386000070,978031.75
1138000450,385964.8
1775800420,489652.6
2291401425,430838.25
2025770560,1048104.7
3525069037,711697.44
9324800450,602175.75
8080400136,573845.2
8651540040,534890.44
9407001790,239132.81
1773101530,265096.53
9432900250,342209.47
1794500695,580470.9
2220069003,366560.1
923000120,516119.34
5728000060,568140.6
16000200,261850.52
1926059094,462502.94
6672900220,1050187.2
3629860060,800294.8
1822069109,483992.5
6675500105,366248.0
249000180,2005036.8
226059065,484462.66
396100110,287808.88
9264450460,339783.0
7853361210,391788.7
9474700020,285783.16
421000455,229253.7
3755200220,439141.75
7960100075,495472.78
9477100490,402420.88
9138100350,901093.9
1624049275,513434.78
2770606890,512810.22
1157200189,459651.84
2770601800,566627.75
9301300805,550980.56
2325069032,1419210.6
1021079099,372756.5
7215730040,759823.9
1853200080,508908.78
3224600340,708690.6
3222049120,489392.5
2113700025,282289.5
7893207925,229409.81
3586501085,567908.56
8024200010,436125.34
7116500705,195230.08
1598600209,311365.44
7204200025,1074091.4
4206901505,551170.94
2937300440,917768.44
7205000180,355493.38
8718500665,381942.16
5318101765,856952.44
4122700020,1063689.1
8078700020,554660.3
3303980680,1029139.0
8924100372,1149144.5
2781270210,206048.28
519000043,557293.7
3225069301,1557341.9
151000075,703798.5
2297400020,440096.0
6617500085,708873.7
104510180,234524.47
3528900060,975746.7
3345100286,564910.3
1226039130,452422.88
8712100720,769747.7
3037200010,411154.03
3626039268,449048.4
104510230,247530.25
5112800060,477587.22
6072400280,665592.44
5317100570,1218759.2
9528102993,554350.56
2919201095,471570.94
6181400920,298086.97
185000161,235314.17
8691400010,755571.8
3345700165,540150.25
6151800486,226289.8
4340000080,1373361.4
4136960010,667849.6
3634100030,353865.12
1624059224,1089627.0
2788400090,275948.4
9828200762,491278.28
7524400250,578983.4
3528000290,744835.9
5700003630,2152695.5
2720069019,348372.03
7227501170,246246.27
2397101270,595468.3
6792100090,725824.06
2770602265,531340.0
